symbol,content
CRM,"salesforce.com, inc. is a customer relationship management company, which provides enterprise software. Its Customer Success Platform offers a comprehensive portfolio of services, such as sales force automation, customer service and support, marketing automation, digital commerce, community management, analytics, application development, IoT integration, collaborative productivity tools and professional cloud services. The company enables industries and companies of all sizes to connect their customers using cloud, social, mobile and data science technologies. It also encourages third parties to develop additional functionality and new apps that run on its platform and other developer tools. salesforce.com was founded by Marc Russell Benioff, Parker Harris, David Moellenhoff, and Frank Dominguez in February 1999 and is headquartered in San Francisco, CA."
CRMD,"CorMedix, Inc. operates as pharmaceutical and medical device company that seeks to in-license, develop and commercialize prophylactic and therapeutic products for the prevention and treatment of infectious and inflammatory diseases. The company was founded by Antony E. Pfaffle on July 28, 2006 and is headquartered in Bridgewater, NJ."
CRMT,"America&#x27;s Car-Mart, Inc. operates as an automotive retailer in U.S. It focuses on the integrated auto sales and finance segment of the used car market. The company&#x27;s operations are principally conducted through its two operating subsidiaries, America&#x27;s Car-Mart, Inc. and Colonial Auto Finance, Inc., which sell older model used vehicles and provides financing for its customers. America&#x27;s Car-Mart was founded in 1981 and is headquartered in Bentonville, AR."
CROX,"Crocs, Inc. engages in the design, development, manufacturing, worldwide marketing, and distribution of casual footwear, apparel, and accessories for men, women, and children. It operates through the following geographical segments: Americas, Asia Pacific, and Europe. The Americas segment consists of revenues and expenses related to product sales in the North and South America geographic regions. The Asia Pacific segment represents the revenues and expenses related to the product sales throughout Asia, Australia, New Zealand, the Middle East, and South Africa. The Europe segment comprises the revenues and expenses related to product sales throughout Europe and Russia. The company was founded by Scott Seamans, George B. Boedecker Jr. and Lyndon V. Hanson III in 2002 and is headquartered in Niwot, CO."
CRR,"CARBO Ceramics, Inc. is an oilfield services technology company, which engages in the manufacture and supply of ceramic proppant and resin-coated sand. It operates through the Oilfield Technologies and Services; and Environmental Products and Services segment. The Oilfield Technologies and Services segment manufactures and sells ceramic proppants on a global basis for nan hydraulic fracturing of natural gas and oil wells. The Environmental Products and Services segment uses proprietary technology to provide products that are designed to enable its clients to extend the life of their storage assets, reduce the potential for hydrocarbon spill. The company was founded in 1987 and is headquartered in Houston, TX."
CRS,"Carpenter Technology Corp. engages in the manufacturing, fabrication and distribution of specialty metals. It operates through the following segments: Specialty Alloys Operations and Performance Engineered Products. The Specialty Alloys Operations segment comprises of the company&#x27;s premium alloy and stainless steel manufacturing operations. The Performance Engineered Products segment includes the dynamet titanium, the carpenter powder products, the amega west, the specialty steel supply, and the Latrobe and Mexico distribution businesses. The company was founded by James Carpenter in 1889 and is headquartered in Wyomissing, PA."
CRT,"Cross Timbers Royalty Trust is an express trust which operates as a trustee of Southwest Bank. It is created to collect and distribute monthly net profits income to unitholders. It has interest in certain royalty and overriding royalty interest properties in Texas, Oklahoma and New Mexico. The firm also has interest in certain working interest properties in Texas and Oklahoma. The company was founded on February 12, 1991 and is headquartered in Dallas, TX."
CRTN,"Cartesian, Inc. provides professional services and technical solutions in the communications, digital media, technology and financial services markets. It operates through the following segments: North America, EMEA, and Strategic Alliances. The North America and EMEA segments are both single reportable, operating segments that encompass the company&#x27;s operational, technology and software consulting services inside of North America and outside of North America, respectively. Both reportable segments offer management consulting, custom developed software, and technical services. The Strategic Alliances reportable segment is a single, reportable segment that includes the company&#x27;s world-wide commercial activities undertaken with third-party service or solutions providers. The company was founded by Richard P. Nespola in 1990 and is headquartered in Overland Park, KS."
CRUS,"Cirrus Logic, Inc. develops high-precision, analog and mixed-signal integrated circuits for a broad range of innovative customers. It builds a diverse analog and signal-processing patent portfolio. The company delivers optimized products for a variety of audio, industrial and energy-related applications. It has offices in the United States, United Kingdom, Sweden, Spain, Australia, Japan and Asia. The company&#x27;s product lines include Portable Audio Products and Non-Portable Audio and Other Products. Cirrus Logic was founded by Suhas S. Patil and Michael L. Hackworth in 1984 and is headquartered in Austin, TX."
CRVL,"CorVel Corp. engages in managed care services. The firm provides worker&#x27;s compensation solutions for employers, third party administrators, insurance companies, and government agencies seeking to control costs and promote positive outcomes. Its services include claims management, bill review, preferred provider networks, utilization management, case management, pharmacy services, directed care, and Medicare services. The company was founded by V. Clemons Gordon in 1987 and is headquartered in Irvine, CA."
CRWS,"Crown Crafts, Inc. engages in the design, market, and distribution of infant, toddler, and juvenile consumer products. It operates under NoJo brand. Its products include: Infant and Toddler bedding and blankets; Accessories for Babies on the Go; Room Decor; and Nursery Basics. The company was founded by Philip Bernstein in 1957 and is headquartered in Gonzales, LA."
CRY,"CryoLife, Inc. is a medical devices company. It engages in the processing and distribution of implantable human tissues for use in cardiac and vascular surgeries. The company operates in two segments: Medical Devices and Preservation Services. The Medical Devices segment includes external revenues from product sales of BioGlue, BioFoam, PerClot, CardioGenesis cardiac laser therapy, HeRO Graft, and ProCol. The Preservation Services segment offers external services revenues from the preservation of cardiac and vascular tissues. CryoLife was founded by Steven G. Anderson on January 19, 1984 and is headquartered in Kennesaw, GA."
CRZO,"Carrizo Oil &amp; Gas, Inc. is engaged in exploration, development and production of natural gas and oil in the Eagle Ford Shale in South Texas, the Marcellus Shale in Pennsylvania, the Niobrara Formation in Colorado and the Utica Shale in Eastern Ohio. It is also actively developing its oil discovery known as the Huntington Field in the United Kingdom, The company was founded by Sylvester P. Johnson IV and Steven A. Webster in December 1993 and is headquartered in Houston, TX."
CSBK,"Clifton Bancorp, Inc. operates as a bank holding company. It offers banking services, including personal banking, business banking, mortgage banking and savings rates services. The company was founded on November 19, 2013 and is headquartered in Clifton, NJ."
CSCO,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking products and services related to the communications and information technology industry. It provides a broad line of products for transporting data, voice, and video within buildings and across campuses. The company&#x27;s product offerings comprises of the following categories: Switching, Next-Generation Network (NGN) Routing, Service Provider Video, Collaboration, Data Center, Wireless, Security, and Other Products. Switching is a networking technology used in campuses, branch offices, and data centers. The Switches are used within buildings in local-area networks and across great distances in wide-area networks. Switching products offer many forms of connectivity to end users, workstations, IP phones, access points, and servers and also function as aggregators on local-area networks and wide-area networks. The Next-Generation Network Routing technology is fundamental to the foundation of the Internet. This category of technologies interconnects public and private wireline and mobile networks for mobile, data, voice, and video applications. The Service Provider Video delivers entertainment, information, and communication services to consumers and businesses around the world. The Collaboration portfolio integrates voice, video, data, and mobile applications on fixed and mobile networks across a wide range of devices and endpoints, including mobile phones, tablets, desktop and laptop computers, and desktop virtualization clients. The Unified Data Center unites computing, networking, storage, management, and virtualization into a single, fabric-based platform designed to increase and simplify operating efficiencies and provide business agility. The Wireless access via wireless fidelity (Wi-Fi) is a fast growing enterprise technology with companies and public institutions across the globe investing to provide indoor and outdoor coverage with seamless roaming for voice, video, and data applications. The Security portfolio of products and services offers identity, network, and content security solutions designed to enable customers to reduce the impact of threats and realize the benefits of a mobile, collaborative, and cloud-enabled business. Cisco&#x27;s Collaboration portfolio integrates voice, video, data and mobile applications on fixed and mobile networks across a wide range of devices and endpoints from mobile phones and tablets to desktops, Macs and laptops to desktop virtualization clients. The firm operates through the following geographical segments: Americas, Europe, Middle East, Africa, Asia Pacific, Japan, and China. The company was founded by Sandra Lerner and Leonard Bosack on December 10, 1984 and is headquartered in San Jose, CA."
CSFL,"CenterState Banks, Inc. operates as a bank holding company. It operates through two divisions: Commercial and Retail Banking, and Correspondent Banking and Capital Market. The Commercial and Retail Banking division provides traditional deposit and lending products and services to its commercial and retail customers. The Correspondent Banking and Capital Market division offers correspondent bank checking and fed funds purchased products; and safekeeping, bond accounting, and asset and liability consulting services to small to medium size financial institutions in Florida, Alabama, and Georgia. CenterState Banks services include demand interest-bearing and noninterest-bearing accounts, money market deposit accounts, time deposits, safe deposit services, cash management, direct deposits, notary services, money orders, night depository, traveler&#x27;s checks, cashier&#x27;s checks, domestic collections, savings bonds, bank drafts, automated teller services, drive-in tellers, and banking by mail and by Internet. The company was founded on September 20, 1999 and is headquartered in Winter Haven, FL."
CSGP,"CoStar Group, Inc. provides information, analytics and marketing services to the commercial real estate industry. Its integrated suite of online service offerings includes information about space available for lease, comparable sales information, tenant information, information about properties for sale, internet marketing services, analytical capabilities, information for client&#x27;s websites, information about industry professionals and their business relationships, data integration and industry news. The company was founded by Andrew C. Florance and Michael R. Klein in 1987 and is headquartered in Washington, DC."
CSGS,"CSG Systems International, Inc. engages in providing business support solutions serving the communications industry. Its products and solutions include cable and satellite care &amp; billing, content management &amp; monetization, convergent rating and billing, mediation and data management, and wholesale settlement and routing. The company was founded on October 17, 1994 and is headquartered in Englewood, CO."
CSII,"Cardiovascular Systems, Inc. is a medical device company, which develops and sells devices for treating cardiovascular diseases. It focuses on developing and commercializing minimally invasive treatment solutions for vascular diseases. The company&#x27;s products such as diamondback 360&#xB0; PAD system and the stealth 360&#xB0; PAD system are catheter based platforms capable of treating a broad range of plaque types in leg arteries both above and below the knee. The company was founded in 2000 and is headquartered in St. Paul, MN."
CSL,"Carlisle Cos., Inc. engages in the manufacture and distribution of engineered products for both original equipment and aftermarket channels. It operates through the following segments: Carlisle Construction Materials, Carlisle Interconnect Technologies, Carlisle Fluid Technologies, Carlisle Brake and Friction, and Carlisle FoodService Products. The Carlisle Construction Materials segment includes the manufacture of a range of roofing and waterproofing products for commercial and industrial buildings. The Carlisle Interconnect Technologies segment focuses on the design and manufacture of wire and cable, fiber optic cable, RF or microwave connectors, avionics trays, racks, integrated systems, and cable assemblies for applications in the aerospace industry. The Carlisle Fluid Technologies segment deals with the design and manufacture of a range of finishing equipment focused on powder coating, spraying, pumping, mixing, metering, and curing of a variety of coatings. The Carlisle Brake and Friction segment engages in the development and manufacture of brake and friction system solutions. The Carlisle FoodService Products segment includes the manufacture and marketing of professional-grade product solutions for the restaurant, healthcare, and janitorial segments. The company was founded by Charles S. Moomy in 1917 and is headquartered in Scottsdale, AZ."
CSLT,"Castlight Health, Inc. engages in the provision of healthcare information technology solutions. It offers health benefits platforms which enables benefit leaders to communicate and measure their programs. The company was founded by Todd Y. Park, Bryan E. Roberts, and Giovanni M. Colella in January 2008 and is headquartered in San Francisco, CA."
CSOD,"Cornerstone OnDemand, Inc. engages in the provision of learning and talent management solutions delivered as software-as-a-service. Its enterprise and mid-market solution is a cloud-based suite that addresses critical talent needs throughout the entire employee lifecycle from recruitment, onboarding, training, and collaboration to performance management, compensation, succession planning, and analytics. It also provides support packages; client success framework; technical consulting; and content, implementation, business consulting, and educational services. The company was founded by Adam L. Miller, Steven D. Seymour, and Perry A. Wallack on May 24, 1999 and is headquartered in Santa Monica, CA."
CSPI,"CSP, Inc. engages in the developing and marketing information technology integration solutions and cluster computer systems. It operates through the High Performance Products and Solutions and Technology Solutions segments. The High Performance Products and Solutions segment involves in the designs and manufactures computing systems for digital signal processing applications. The Solutions and Technology Solutions segment consists of the computer managed services, integration services, and third-party computer hardware and software value added reseller businesses. The company was founded in 1968 and is headquartered in Lowell, MA."
CSS,"CSS Industries, Inc. engages in the design, manufacture, procurement, and sale of seasonal and all occasion social expression products, principally to mass market retailers in the United States and Canada. Its seasonal and occasion products include decorative ribbons and bows, boxed greeting cards, gift tags, gift wrap, gift bags, gift boxes, gift card holders, decorative tissue paper, decorations, classroom exchange valentines, decorative ribbons and bows, floral accessories, halloween masks, costumes, make-up and novelties, easter egg dyes and novelties, craft and educational products, stickers, memory books, stationery, journals, note cards, infant and wedding photo albums, scrapbooks and gift items. The company was founded in 1923 and is headquartered in Philadelphia, PA."
CST,"CST Brands, Inc. operates as a holding company, which conducts substantially all of its operations through its subsidiaries. It is an independent retailer of motor fuel and convenience merchandise items in the U.S. and eastern Canada. The company&#x27;s operations include the sale of motor fuel at convenience stores, filling stations and cardlocks, the sale of convenience merchandise items and services at convenience stores and the sale of heating oil to residential customers and heating oil and motor fuel to small commercial customers. It operates through the following segments: U.S. Retail, Retail Canada and CrossAmerica. The Retail U.S. segment sells motor fuel primarily under the Valero and Diamond Shamrock brands, convenience merchandise items and other services through convenience stores operated predominantly under the Corner Store name in nine states, with significant concentrations in Texas and Colorado. The Retail Canada segment sells Ultramar-branded motor fuel, convenience merchandise items and other services through convenience stores operated predominantly under the Corner Store/Depanneur du Coin names in six provinces in eastern Canada, with a significant concentration in Quebec. The CrossAmerica segment consists of wholesale and retail distribution of motor fuel and convenience merchandise and the ownership and leasing of real estate used in the retail distribution of motor fuel in the U.S. The company was founded on November 7, 2012 and is headquartered in San Antonio, TX."
CSU,"Capital Senior Living Corp. operates senior living communities. It provides senior living services to the elderly, including independent living, assisted living, and home care services. Its basic services consisting of meals, housekeeping, laundry, 24-hour staffing, transportation, social and recreational activities, and health care monitoring. The company was founded in 1990 and is headquartered in Dallas, TX."
CSV,"Carriage Services, Inc. provides funeral and cemetery services and products in the United States of America. It operates through two segments: Funeral Home Operations and Cemetery Operations. The Funeral Home Operations segment offers a complete suite of services to meet families funeral needs, including consultation, removal and preparation of remains, sale of caskets and related funeral merchandise, use of funeral homes for visitation and religious services and transportation services. The Cemetery Operations segment provides services, such as mausoleum crypts, private estates, lawn crypt gardens, traditional single burial grave sites and burial vaults. The company was founded by Melvin C. Payne in 1991 and is headquartered in Houston, TX."
CSWC,"Capital Southwest Corp. is a traded fund that invests in companies with a minimum EBITDA of $3 million located in the US. The fund targets companies operating in the fields of industrial manufacturing &amp; services, value-added distribution, healthcare products &amp; services, business services, specialty chemicals, tech-enabled services &amp; SaaS models, and food &amp; beverage sectors. It provides debt and equity capital for new platform acquisitions, dividend recapitalizations, refinancings, bolt-on acquisitions, and growth financings with an investment size ranging from $5 to $20 million. It considers co-investments and it also makes non-controlling investments."
CSX,"CSX Corp. engages in the provision of rail, intermodal, and rail-to-truck transload services and solutions to customers, including energy, industrial, construction, agricultural, and consumer products. It includes traditional rail service and transport of intermodal containers and trailers. The company was founded in 1827 and is headquartered in Jacksonville, FL."
CTAS,"Cintas Corp. engages in the provision and supply of corporate identity uniform programs. The firm operates through the following segments: Uniform Rental and Facility Services, First Aid and Safety Services, and All Other. The Uniform Rental and Facility Services segment consists of rental and servicing of uniforms and other garments including flame resistant clothing, mats, mops and shop towels, and other ancillary items. The First Aid and Safety Services segment comprises of first aid and safety products and services. The All Other segment includes fire protection services and its direct sale business. The company was founded by Richard T. Farmer in 1968 and is headquartered in Cincinnati, OH."
CTB,"Cooper Tire &amp; Rubber Co. engages in the manufacture and trade of tires. It operates through the following geographical segments: North America, Latin America, Europe, and Asia. It offers replacement tires for light trucks, sport utility vehicles, and passenger cars. The company was founded by John F. Schaefer and Claude E. Hart in 1914 and is headquartered in Findlay, OH."
CTBI,"Community Trust Bancorp, Inc. (Kentucky) is a bank holding company, which engages in the provision of community banking services through its subsidiary Community Trust Bank, Inc. It offers residential and commercial real estate loans; checking accounts; regular and term savings accounts and savings certificates; full service securities brokerage services; consumer loans; debit cards; annuity and life insurance products; Individual Retirement Accounts and Keogh plans; commercial loans; trust and wealth management services; commercial demand deposit accounts; and repurchase agreements. The company was founded on August 12, 1980 and is headquartered in Pikeville, KY."
CTG,"Computer Task Group, Inc. operates as an information solutions and staffing services company with operations in North America and Europe. Its services include information technology solutions and information technology staffing. The company&#x27;s services encompass the information technology business solution life cycle, including phases for planning, developing, implementing, managing, and ultimately maintaining the information technology solution. It develops information technology solutions to address the business needs and challenges of companies in several growth industries, including healthcare, financial services, energy, and technology services. The company provides various other IT solutions which include helping clients assess their business needs and identifying the right IT solutions to meet these needs. It also supports larger companies and organizations that need to augment their own IT staff on a flexible basis. Computer Task Group was founded by Randolph A. Marks and G. David Baer on March 11, 1966 and is headquartered in Buffalo, NY."
CTHR,"Charles &amp; Colvard Ltd. engages in the manufacturing, marketing, distribution and sale of moissanite jewels and finished jewelry featuring moissanite for sale in the worldwide jewelry market. It also sells moissanite jewels to jewel distributors and jewelry manufacturers and finished moissanite jewelry primarily to retailers and end consumers. It operates through the following business segments: Wholesale, Moissanite.com, and Charles and Colvard Direct. The company was founded in 1995 and is headquartered in Morrisville, NC."
CTIB,"CTI Industries Corp. engages in the provision of design and development of flexible film products. Its activities include development, production and distribution of innovative flexible film products for commercial and for consumer markets. Its products include balloon, vacuum sealing and commercial film. The company was founded on October 14, 1983 and is headquartered in Lake Barrington, IL."
CTIC,"CTI BioPharma Corp. operates as a biopharmaceutical company, which is focuses on the development, acquisition, and commercialization of novel treatments for cancer. Its products include Pixuvri, Pacritinib, Tosedostat and Opaxio. The company was founded by James A. Bianco, Jack W. Singer, and Louis A. Bianco in September 1991 and is headquartered in Seattle, WA."
CTL,"CenturyLink, Inc. is an integrated communications company which is engaged primarily in providing an array of communications services to residential, business, governmental and wholesale customers. Its communications services include local and long-distance, broadband, private line, Multi-Protocol Label Switching, data integration, managed hosting, colocation, Ethernet, network access, public access, wireless, video services and other ancillary services. It also offers advanced entertainment services under the CenturyLink Prism TV and DIRECTV brands. The company operates through two segments: Business and Consumer. The Business segment provides strategic, legacy and data integration products and services to enterprise, wholesale, governmental customers and other communication providers. Its strategic products and services offered to these customers include its private line, broadband, Ethernet, MPLS, Voice over Internet Protocol, network management services, colocation, managed hosting and cloud hosting services and legacy services offered to these customers primarily include switched access, long-distance, and local services, including the sale of unbundled network elements, which allow its wholesale customers to use its network or a combination of its network and their own networks to provide voice and data services to their customers. The Consumer segment consists generally of providing strategic and legacy products and services to residential customers. Its strategic products and services offered to these customers include broadband, wireless and video services, including Prism TV services and legacy services offered to these customers include local and long-distance services. CenturyLink was founded in 1930 and is headquartered in Monroe, LA."
CTLT,"Catalent, Inc. is a holding company, which engages in the research, development and marketing of pharmaceutical products. It operates through the following segments: Softgel Technologies, Drug Delivery Solutions, and Clinical Supply Services. The Softgel Technologies segment engages in formulation, development and manufacturing of prescription and consumer health soft capsules, or softgels including traditional softgel capsules; and vegicaps and optishell capsules. The Drug Delivery Solutions segment includes formulation, development and manufacturing of prescription and consumer and animal health products using its proprietary optimelt, optipact, optiform and zydis technologies, other proprietary and conventional drug delivery technologies such as prefilled syringes; blow-fill seal unit dose manufacturing including its ADVASEPT technology; biologic cell line development including its GPEx and SMARTag technologies; and analytical and bioanalytical development; and testing services. The Clinical Supply Services segment includes in manufacturing, packaging, labeling, storage, distribution and inventory management for global clinical trials of drugs and biologics for customer required patient kits; fastChain demand-led clinical supply service; clinical e-solutions and informatics; and global comparator sourcing services. The company was founded in April 2007 and is headquartered in Somerset, NJ."
CTO,"Consolidated Tomoka Land Co. is a diversified real estate operating company. The company operates in four business segments: income properties, commercial loan investments, real estate operations, and golf operations. The Commercial loan Investments segment consists of one loan collateralized by a hotel property in Atlanta, Georgia. The Real Estate Operations segment consists of revenues generated from land transactions and leasing and royalty income from its interests in subsurface oil, gas and mineral rights. The Income Properties segment consists primarily of income producing properties and its business plan is to focus on investing in additional income-producing properties. The Golf Operations segment consist of a single property located in the city, with two 18-hole championship golf courses, a practice facility, and clubhouse facilities, including a restaurant and bar operation and pro-shop with retail merchandise. The company was founded in 1902 and is headquartered in Daytona Beach, FL."
CTRE,"CareTrust REIT, Inc. is a real estate investment company, which engages in the ownership, acquisition, and leasing of healthcare-related properties. It operates skilled nursing, assisted living, and independent living facilities. The company was founded on October 29, 2013 and is headquartered in Mission Viejo, CA."
CTRL,"Control4 Corp. engages in the provision of automation and control solutions for the connected home. The firm provides consumers with the ability to integrate music, video, lighting, temperature, security, communications and, other functionalities into a unified home automation solution. Its software services delivers through controller products, cloud services, and user-interface products; as well as sells third-party connected devices through independent dealer channels and online store available on dealer website. The company was founded by W. Eric Smith, William B. West and Mark J. Morgan on March 27, 2003 and is headquartered in Salt Lake City, UT."
CTRN,"Citi Trends, Inc. engages in the retail of urban fashion apparel, shoes, accessories, and home decor. It offers products under its proprietary brands such as Citi Steps and Red Ape. The company was founded in 1946 and is headquartered in Savannah, GA."
CTRV,"ContraVir Pharmaceuticals, Inc. is a development stage biopharmaceutical company which is focused primarily on the development of drugs to treat herpes zoster or shingles. The company currently developing a compound called FV-100 for the treatment of shingles. It is also developing CMX157, a potent analog of the successful antiviral drug tenofovir DF. ContraVir Pharmaceuticals was founded on May 15, 2013 and is headquartered in Edison, NJ."
CTS,"CTS Corp is a designer and manufacturer of electronic components, actuators and sensors and a provider of services to OEMs in the automotive, communications, medical, defense and aerospace, industrial and computer markets. CTS manufacture products in North America, Europe and Asia. CTS was founded in 1896 and is headquartered in Elkhart, IN."
CTSH,"Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services. It operates through the following segments: Financial Services, Healthcare, Manufacturing, Retail and Logistics, and Other. The Financial Services segment involves in customers providing banking/transaction processing, capital markets, and insurance services. The Healthcare segment offers healthcare providers and payers as well as life sciences customers. The Manufacturing, Retail and Logistics segment comprises of manufacturers, retailers, and customers providing logistics services. The Other segment includes communications, information, media and entertainment, and high technology. The company was founded by Wijeyaraj Kumar Mahadeva and Francisco D&#x27;Souza in 1994 and is headquartered in Teaneck, NJ."
CTSO,"CytoSorbents Corp. is a critical care immunotherapy company, which engages in blood purification to control deadly inflammation in critically-ill and cardiac surgery patients. Its products include cytosorb, contrastsorb, vetresq, hemodefend, and drugsorb. The company was founded by Joseph Rubin on April 25, 2002 and is headquartered in Monmouth Junction, NJ."
CTT,"CatchMark Timber Trust, Inc. is a self-administered and self-managed real estate company that invests in timberlands. The company primarily engages in the ownership, management, acquisition and disposition of timberland properties located in the United States. The company was founded on September 27, 2005 and is headquartered in Atlanta, GA."
CTWS,"Connecticut Water Service, Inc. manages, operates, and regulates water supply. It operates through the following business segments: Water Operations; Real Estate Transactions; and Services and Rentals. The Water Operations segment supplies public drinking water. The Real Estate Transactions segment manages properties and income tax benefits of real estate holdings. The Services and Rentals segment offers contracted services to water and wastewater utilities, service line protection for public drinking water, and deliveries of emergency drinking water to residences and companies. The company was founded in 1974 and is headquartered in Clinton, CT."
CTXS,"Citrix Systems, Inc. designs, develops and markets technology solutions. The company provides transition to software defining the workplace, uniting virtualization, mobility management, networking and SaaS solutions to enable new ways for businesses and people to work better. Its solutions power business mobility through secure, mobile workspaces that provide people with instant access to apps, desktops, data and communications on any device, over any network or cloud. The company operates its business through two divisions: Enterprise &amp; service provider and Mobility apps. The Enterprise &amp; service provider division is comprised of workspace services, mobile and delivery networking products. The Mobility apps division is comprised of communications cloud, documents cloud and workflow cloud products. Citrix Systems was founded by Edward E. Iacobucci on April 17, 1989 and is headquartered in Fort Lauderdale, FL."
CUB,"Cubic Corp. engages in designing, development, production, installation, maintenance and operation of automated fare payment, traffic management and enforcement solutions, real-time information collection systems, and revenue management infrastructure and technologies for transportation agencies. It operates through the Cubic Global Defense Systems (CGD Systems) and Cubic Global Defense Services (CGD Services), segments. The CGD Systems is a systems integrator of payment and information technology and services for intelligent travel solutions. The CGD Services segments provides training, operations, intelligence, maintenance, technical, and other support services to the U.S. government and its agencies and allied nations. The company was founded by Walter J. Zable in 1949 and headquartered in San Diego, CA."
CUBE,"CubeSmart operates as a self-managed and self-administered real estate investment trust with its operations conducted solely through CubeSmart LP and its subsidiaries. It focuses primarily on the ownership, operation, management, acquisition, and development of self-storage facilities. The company was founded in July 2004 and is headquartered in Malvern, PA."
CUBI,"Customers Bancorp, Inc. operates as a bank holding company. Through its subsidiary, Customers bank, it offers financial services to small and medium-sized businesses, professionals, individuals and families through branch locations in Pennsylvania, New York and New Jersey. It provides financial products and services to small and middle market businesses, not-for-profits, and consumers through its branches. It also provides liquidity to the mortgage market nationwide through the operation of its loans to mortgage banking companies. The company was founded on April 7, 2010 and is headquartered in Wyomissing, PA."
CUDA,"Barracuda Networks, Inc. engages in the development and provision of security systems and data protection solutions. It operates through the following geographical segments: North America, Latin America, Asia-Pacific, and EMEA. It offers cloud-connected applications and solutions for security threats, network performance, and data storage. The company was founded by Dean M. Drako, Michael D. Perone, and Zachary S. Levow in 2003 and is headquartered in Campbell, CA."
CUI,"CUI Global, Inc. engages in the acquisition, development, and commercialization of electro-mechanical products and technologies worldwide. It operates through the Power and Electro-Mechanical; and Energy segments. The The Power and Electro-Mechanical segment is focused sale of internal and external power supplies and related components, industrial controls and test and measurement devices. The Energy segment is focused on the gas related test and measurement systems, including the GasPT2. The Other segment represents the remaining activities. The company was founded in 1989 and is headquartered in Tualatin, OR."
CUNB,"CU Bancorp operates as a holding company of California United Bank. It is a commercial bank, which offers banking products and services designed for small and medium-sized businesses, non-profit organizations, business owners and entrepreneurs, and the professional community. The company was founded on November 16, 2011 and is headquartered in Los Angeles, CA."
CUO,"Continental Materials Corp. engages in heating, ventilation and air conditioning, and construction products. It operates through Heating and Cooling, and Evaporative Cooling segments. The Heating and Cooling produces and sells gas-fired wall furnaces, console heaters and fan coils. The Evaporative Cooling segment produces and sells primarily evaporative coolers. The company was founded in 1954 and is headquartered in Chicago, IL."
CUR,"Neuralstem, Inc. is a biopharmaceutical company, which engages in the research, development, and commercialization of central nervous system therapies based on human neuronal stem cells and small molecule compounds. Its patented technology enables the commercial-scale production of central nervous system stem cells. The company was founded by I. Richard Garr, Karl Y. Johe, and Merrill Solomon in 1996 and is headquartered in Germantown, MD."
CUTR,"Cutera, Inc. engages in the design, development, manufacture, marketing and servicing of laser and other energy based aesthetics systems for practitioners. The company engages in sale of aesthetic medical equipment and services, and distribution of cosmeceutical and dermal filler products to qualified medical practitioners. Its products include Enlighten, Excel HR, Excel V, Xeo, and TruSculpt. The company was founded in August 1998 and is headquartered in Brisbane, CA."
CUZ,"Cousins Properties, Inc. is an integrated, self-administered and self-managed real estate investment trust. It invests in top-tier urban office assets and opportunistic mixed-use developments in Sunbelt markets, with a focus on Georgia, Texas and North Carolina. It operates through the following segments: Office, Mixed-Use, and Other. The company was founded by Thomas G. Cousins in 1958 and is headquartered in Atlanta, GA."
CVA,"Covanta Holding Corp. engages in the operation and ownership of infrastructure for the conversion of waste to energy, and related waste transport and disposal and other renewable energy production businesses. It operates large-scale Energy-from-Waste and renewable energy projects. Its energy-from-waste serves two markets as both a sustainable waste disposal solution that is environmentally superior to landfilling and as a source of clean energy that reduces overall greenhouse gas emissions and is also considered renewable under the laws of many states and under federal law. The company was founded on April 16, 1992 and is headquartered in Morristown, NJ."
CVBF,"CVB Financial Corp. is a bank holding company, which engages in the provision of traditional banking activities, including the acceptance of deposits and the lending and investing of money. The firm also offers trust and investment related services to customers. It operates through two segments: Business Financial and Commercial Banking Centers and Dairy &amp; Livestock and Agribusiness. The Business Financial and Commercial Banking Centers segment consists of loans, deposits, and fee generating products and services that the bank offers to its clients and prospects. The company was founded by George Borba on April 27, 1981 and is headquartered in Ontario, CA."
CVCO,"Cavco Industries, Inc. is a residential modular homes building company. It designs systems built structures, including manufactured homes, modular homes, commercial buildings, park model Rv&#x27;s and vacation cabins. The company&#x27;s insurance group, Standard Casualty, offers a wide range of insurance products for manufactured home owners; and finance subsidiary, CountryPlace Mortgage, offers a variety of homebuyer financing options. Cavco Industries was founded in 1965 and is headquartered in Phoenix, AZ."
CVCY,"Central Valley Community Bancorp is a bank holding company, which engages in the provision of business, personal, and online banking through Central Valley Community Bank. The company was founded on February 7, 2000 and is headquartered in Fresno, CA."
CVEO,"Civeo Corp. engages in the provision of remote site accommodations, logistics, and facility management services to the natural resources industry. It also provides catering and food services, housekeeping, laundry, facility management, water and wastewater treatment, power generation, communications, and redeployment logistics. It operates through the following geographical segments: Canada, Australia, and U. S. The company is headquartered in Houston, TX."
CVG,"Convergys Corp. engages in the provision of relationship management solutions. It focuses on customer management through every customer interaction. The firm&#x27;s services include customer care, revenue generation and retention, technical support, collections, analytics, and omnichannel technology. The company was founded in 1998 and is headquartered in Cincinnati, OH."
